"OA","Age_0_17","Age_18_29","Age_30_44","Age_45_64","Age_65_up","united_kingdom","ireland","other_eu","other_countries","no_cars","one_car","two_cars","three_and_more_cars","employed","unemployed","retired","white","asian","black_african","other_arab","all_english","notall_english","kids_english","no_english","single","married","divorced","lowest_quali","highest_quali","christian","jewish","muslim","no_religion","owned","shared","social_rent","private_rent","rent_free","males","females"
"E00014057",15.8,21.6,34.9,18.2,9.5,35.9,2.4,19.6,42.1,60.6,33.7,5.8,0,62.1,3,5.3,69.9,11.5,1,6.7,56.7,16.3,2.9,24,47.5,38.5,7.8,3.9,63.1,44.5,0.5,20.1,18.2,47.1,0,1,47.1,4.8,53.1,46.9
"E00014058",13.3,22.4,41.6,18,4.5,38.2,1.1,21.3,39.3,77.6,17.7,4.1,0.7,67.7,3.9,4.8,59.6,17.2,3,11.6,53.1,10.2,0.7,36.1,58.4,30,7.3,6.4,51.9,42.7,1.5,20.2,16.5,21.1,0,22.4,56.5,0,52.1,47.9
"E00014059",18.5,15,26.4,22.4,17.9,42.8,2.5,8.5,46.3,75,20.8,4.2,0,43.3,7.6,14.6,43.8,29.9,7.5,4.5,54.2,16.7,5.2,24,47.6,30.4,11.3,10.7,36.3,41.8,1.5,29.4,15.4,27.1,0,55.2,16.7,1,47.8,52.2
"E00014060",10.6,22.5,28.4,28,10.3,37.4,2.1,20.1,40.5,78.1,17.9,3.3,0.7,61.8,7.6,7.6,55.7,18.3,8,8,49,14.6,2,34.4,54.7,25.3,11.7,7.2,40.8,47.1,0.3,20.4,18,4.6,0.7,64.2,28.5,2,51.9,48.1
"E00014061",20.5,18.7,22.6,26.9,11.3,37.5,2.1,15.5,44.9,44.5,42.7,6.4,6.3,64.5,1.4,6.9,70.3,17,1.1,3.9,63.6,15.5,0.9,20,41.4,49.6,3.9,3,64.7,57.2,0.7,9.9,22.6,50,0,0,49.1,0.9,51.6,48.4
"E00014062",16.9,16.8,27.8,21.3,17.2,35.4,2.1,23.4,39.2,42.4,48.5,6.8,2.3,57,2.2,12.7,73.2,8.6,0.3,8.6,63.6,15.2,3,18.2,37,49.2,6.1,2.4,65.9,53.6,2.7,8.6,24.7,47,0,1.5,47.7,3.8,46.4,53.6
"E00014063",1.5,36.7,41.6,15.3,5.1,28.1,2.8,29.9,39.1,85.5,13.5,1,0,74.6,2.2,1.8,76.9,11.4,1.1,3.9,49.3,9.2,0.5,41.1,69.3,17.3,8.3,3.6,64.6,56.2,0.4,6.8,28.1,15.9,0.5,1,82.1,0.5,53.4,46.6
"E00014064",18.5,11.6,23.5,22.9,23.5,46,1.3,19.2,33.4,42.6,41,12.3,4.1,66,1,7.1,84.8,8.9,0,3,70.5,9.8,0.8,18.9,29.6,54.4,4.8,4,63.6,62.6,2.6,4,18.2,43.4,0,0,53.3,3.3,43.7,56.3
"E00014065",11.1,19.3,36.7,27.1,6,46.8,1.4,22,29.8,58.1,38.7,2.4,0.8,67.2,3.6,7.8,72.5,9.2,4.6,4.6,63.7,12.9,0.8,22.6,57.7,28.1,7.7,2,65.3,51.4,0.9,11.5,24.3,37.9,0.8,8.1,49.2,4,50.9,49.1
"E00014066",21.7,10.8,21,25.4,21,36.7,0.4,22.6,40.3,43.5,43.5,13,0,56.7,2.3,12.9,74.6,12.5,0.4,3.6,61.1,14.8,2.8,21.3,23.7,66.7,2.5,3,68.2,53.2,3.6,8.9,19,63.9,0,0.9,30.6,4.6,47.2,52.8
